[2024-09-07 05:40:10 : INFO] - Re_Smush_It_Task with attachment ID : 2596, autocreated on : September 07, 2024 05:40:10 
[2024-09-07 05:40:27 : INFO] - Re_Smush_It_Task with attachment ID : 2597, autocreated on : September 07, 2024 05:40:27 
[2024-09-07 05:40:28 : INFO] - Re_Smush_It_Task with attachment ID : 2598, autocreated on : September 07, 2024 05:40:28 
[2024-09-07 05:40:30 : INFO] - Re_Smush_It_Task with attachment ID : 2599, autocreated on : September 07, 2024 05:40:30 
[2024-09-07 05:40:31 : INFO] - Re_Smush_It_Task with attachment ID : 2600, autocreated on : September 07, 2024 05:40:31 
[2024-09-07 05:40:36 : INFO] - Re_Smush_It_Task with attachment ID : 2601, autocreated on : September 07, 2024 05:40:36 
[2024-09-07 05:40:37 : INFO] - Re_Smush_It_Task with attachment ID : 2602, autocreated on : September 07, 2024 05:40:37 
[2024-09-07 05:40:37 : INFO] - Re_Smush_It_Task with attachment ID : 2603, autocreated on : September 07, 2024 05:40:37 
[2024-09-07 05:40:37 : INFO] - Re_Smush_It_Task with attachment ID : 2604, autocreated on : September 07, 2024 05:40:37 
[2024-09-07 05:40:38 : INFO] - Re_Smush_It_Task with attachment ID : 2605, autocreated on : September 07, 2024 05:40:38 
[2024-09-07 05:40:40 : INFO] - Re_Smush_It_Task with attachment ID : 2606, autocreated on : September 07, 2024 05:40:40 
[2024-09-07 05:40:42 : INFO] - Re_Smush_It_Task with attachment ID : 2607, autocreated on : September 07, 2024 05:40:42 
[2024-09-07 05:40:42 : INFO] - Re_Smush_It_Task with attachment ID : 2608, autocreated on : September 07, 2024 05:40:42 
[2024-09-07 05:40:43 : INFO] - Re_Smush_It_Task with attachment ID : 2609, autocreated on : September 07, 2024 05:40:43 
[2024-09-07 05:40:43 : INFO] - Re_Smush_It_Task with attachment ID : 2610, autocreated on : September 07, 2024 05:40:43 
[2024-09-07 05:40:47 : INFO] - Re_Smush_It_Task with attachment ID : 2611, autocreated on : September 07, 2024 05:40:47 
[2024-09-07 05:40:48 : INFO] - Re_Smush_It_Task with attachment ID : 2612, autocreated on : September 07, 2024 05:40:48 
[2024-09-07 05:40:49 : INFO] - Re_Smush_It_Task with attachment ID : 2613, autocreated on : September 07, 2024 05:40:49 
[2024-09-07 05:40:49 : INFO] - Re_Smush_It_Task with attachment ID : 2614, autocreated on : September 07, 2024 05:40:49 
[2024-09-07 05:40:58 : INFO] - Re_Smush_It_Task with attachment ID : 2615, autocreated on : September 07, 2024 05:40:58 
[2024-09-07 05:41:03 : INFO] - Re_Smush_It_Task with attachment ID : 2616, autocreated on : September 07, 2024 05:41:03 
[2024-09-07 05:41:08 : INFO] - Re_Smush_It_Task with attachment ID : 2617, autocreated on : September 07, 2024 05:41:08 
[2024-09-07 05:41:11 : INFO] - Re_Smush_It_Task with attachment ID : 2618, autocreated on : September 07, 2024 05:41:11 
[2024-09-07 05:41:13 : INFO] - Re_Smush_It_Task with attachment ID : 2619, autocreated on : September 07, 2024 05:41:13 
[2024-09-07 05:41:13 : INFO] - Re_Smush_It_Task with attachment ID : 2620, autocreated on : September 07, 2024 05:41:13 
[2024-09-07 05:41:15 : INFO] - Re_Smush_It_Task with attachment ID : 2621, autocreated on : September 07, 2024 05:41:15 
[2024-09-07 05:41:19 : INFO] - Re_Smush_It_Task with attachment ID : 2622, autocreated on : September 07, 2024 05:41:19 
